===============================================================================
Id,,len,datetime,open,high,low,close,volume,openinterest,pe,SmaCross,len,datetime,MovingAverageSimple,len,sma,CrossOver,len,crossover,Broker,len,cash,value,BuySell,len,buy,sell,Trades - Net Profit/Loss,len,pnlplus,pnlminus
23,,23,2020-02-11 00:00:00,105.81596448,107.0873208,105.42477792,106.20715104,34856302.0,,378583345.0,SmaCross,23,737466.0,MovingAverageSimple,23,105.581252544,CrossOver,23,0.0,Broker,23,10000.0,10000.0,BuySell,23,,,Trades - Net Profit/Loss,23,,
24,,24,2020-02-12 00:00:00,106.01155776,106.40274432,105.22918464,106.20715104,26313927.0,,284693716.0,SmaCross,24,737467.0,MovingAverageSimple,24,105.89420179199999,CrossOver,24,0.0,Broker,24,10000.0,10000.0,BuySell,24,,,Trades - Net Profit/Loss,24,,
25,,25,2020-02-13 00:00:00,105.81596448,106.40274432,105.22918464,105.22918464,22630613.0,,244794981.0,SmaCross,25,737468.0,MovingAverageSimple,25,105.83552380799999,CrossOver,25,-1.0,Broker,25,10000.0,10000.0,BuySell,25,,,Trades - Net Profit/Loss,25,,
26,,26,2020-02-14 00:00:00,105.22918464,106.40274432,105.03359136,106.20715104,22360549.0,,242102421.0,SmaCross,26,737469.0,MovingAverageSimple,26,105.83552380799999,CrossOver,26,1.0,Broker,26,10000.0,10000.0,BuySell,26,,,Trades - Net Profit/Loss,26,,
27,,27,2020-02-17 00:00:00,106.40274432,109.63003344,106.20715104,109.33664352,41343320.0,,457641227.0,SmaCross,27,737472.0,MovingAverageSimple,27,106.637456256,CrossOver,27,0.0,Broker,27,10000.0,10000.0,BuySell,27,,,Trades - Net Profit/Loss,27,,
28,,28,2020-02-18 00:00:00,108.45647376,109.33664352,107.96749056,108.16308384,30162703.0,,334474238.0,SmaCross,28,737473.0,MovingAverageSimple,28,107.028642816,CrossOver,28,0.0,Broker,28,10000.0,10000.0,BuySell,28,,,Trades - Net Profit/Loss,28,,
29,,29,2020-02-19 00:00:00,108.35867712,109.92342336,107.96749056,108.65206704,25100157.0,,279375283.0,SmaCross,29,737474.0,MovingAverageSimple,29,107.51762601600001,CrossOver,29,0.0,Broker,29,10000.0,10000.0,BuySell,29,,,Trades - Net Profit/Loss,29,,
30,,30,2020-02-20 00:00:00,109.23884688,110.21681328,108.16308384,109.82562672,36656416.0,,408938116.0,SmaCross,30,737475.0,MovingAverageSimple,30,108.43691443200001,CrossOver,30,0.0,Broker,30,10000.0,10000.0,BuySell,30,,,Trades - Net Profit/Loss,30,,
31,,31,2020-02-21 00:00:00,109.82562672,111.39037296,109.63003344,110.5102032,38949418.0,,439706991.0,SmaCross,31,737476.0,MovingAverageSimple,31,109.297524864,CrossOver,31,0.0,Broker,31,10000.0,10000.0,BuySell,31,,,Trades - Net Profit/Loss,31,,
32,,32,2020-02-24 00:00:00,109.82562672,110.90138976,108.5542704,109.14105024,44738622.0,,501186013.0,SmaCross,32,737479.0,MovingAverageSimple,32,109.258406208,CrossOver,32,-1.0,Broker,32,10000.0,10000.0,BuySell,32,,,Trades - Net Profit/Loss,32,,
33,,33,2020-02-25 00:00:00,108.26088048,109.0432536,107.67410064,108.45647376,48324564.0,,535241824.0,SmaCross,33,737480.0,MovingAverageSimple,33,109.317084192,CrossOver,33,0.0,Broker,33,10000.0,10000.0,BuySell,33,,,Trades - Net Profit/Loss,33,,
34,,34,2020-02-26 00:00:00,107.67410064,110.80359312,107.67410064,109.5322368,51906287.0,,581437742.0,SmaCross,34,737481.0,MovingAverageSimple,34,109.49311814400001,CrossOver,34,1.0,Broker,34,10000.0,10000.0,BuySell,34,,,Trades - Net Profit/Loss,34,,
35,,35,2020-02-27 00:00:00,109.5322368,110.5102032,108.84766032,109.63003344,33029824.0,,370549707.0,SmaCross,35,737482.0,MovingAverageSimple,35,109.453999488,CrossOver,35,0.0,Broker,35,10000.0,10000.0,BuySell,35,,,Trades - Net Profit/Loss,35,,
36,,36,2020-02-28 00:00:00,108.65206704,109.33664352,106.1093544,106.1093544,50137988.0,,550529618.0,SmaCross,36,737483.0,MovingAverageSimple,36,108.573829728,CrossOver,36,-1.0,Broker,36,10000.0,10000.0,BuySell,36,,,Trades - Net Profit/Loss,36,,
37,,37,2020-03-02 00:00:00,107.0873208,108.5542704,106.79393088,107.96749056,39245056.0,,432698824.0,SmaCross,37,737486.0,MovingAverageSimple,37,108.339117792,CrossOver,37,0.0,Broker,37,10000.0,10000.0,BuySell,37,,,Trades - Net Profit/Loss,37,,
38,,38,2020-03-03 00:00:00,108.84766032,109.82562672,107.96749056,108.16308384,39332460.0,,437422565.0,SmaCross,38,737487.0,MovingAverageSimple,38,108.28043980800001,CrossOver,38,0.0,Broker,38,10000.0,10000.0,BuySell,38,,,Trades - Net Profit/Loss,38,,
39,,39,2020-03-04 00:00:00,107.67410064,108.5542704,107.0873208,107.86969392,34628358.0,,381014627.0,SmaCross,39,737488.0,MovingAverageSimple,39,107.947931232,CrossOver,39,0.0,Broker,39,10000.0,10000.0,BuySell,39,,,Trades - Net Profit/Loss,39,,
40,,40,2020-03-05 00:00:00,108.35867712,110.70579648,107.86969392,110.70579648,73047882.0,,819311470.0,SmaCross,40,737489.0,MovingAverageSimple,40,108.16308383999998,CrossOver,40,1.0,Broker,40,10000.0,10000.0,BuySell,40,,,Trades - Net Profit/Loss,40,,
41,,41,2020-03-06 00:00:00,109.82562672,110.31460992,108.65206704,108.74986368,41587820.0,,464404003.0,SmaCross,41,737490.0,MovingAverageSimple,41,108.691185696,CrossOver,41,0.0,Broker,41,10000.0,10000.0,BuySell,41,,,Trades - Net Profit/Loss,41,,
42,,42,2020-03-09 00:00:00,107.576304,107.576304,105.131388,105.42477792,59495242.0,,644379973.0,SmaCross,42,737493.0,MovingAverageSimple,42,108.182643168,CrossOver,42,-1.0,Broker,42,10000.0,10000.0,BuySell,42,,,Trades - Net Profit/Loss,42,,
43,,43,2020-03-10 00:00:00,104.74020144,107.18511744,104.6424048,106.30494768,44761737.0,,485896696.0,SmaCross,43,737494.0,MovingAverageSimple,43,107.81101593600002,CrossOver,43,0.0,Broker,43,10000.0,10000.0,BuySell,43,,,Trades - Net Profit/Loss,43,,
44,,44,2020-03-11 00:00:00,106.89172752,106.89172752,105.32698128,105.32698128,31688826.0,,343734180.0,SmaCross,44,737495.0,MovingAverageSimple,44,107.302473408,CrossOver,44,0.0,Broker,44,10000.0,10000.0,BuySell,44,,,Trades - Net Profit/Loss,44,,
45,,45,2020-03-12 00:00:00,105.131388,105.131388,103.76223504,104.05562496,32632350.0,,348157969.0,SmaCross,45,737496.0,MovingAverageSimple,45,105.972439104,CrossOver,45,0.0,Broker,45,10000.0,10000.0,BuySell,45,,,Trades - Net Profit/Loss,45,,
46,,46,2020-03-13 00:00:00,101.7085056,104.93579472,100.53494592,104.6424048,57457109.0,,603756305.0,SmaCross,46,737497.0,MovingAverageSimple,46,105.150947328,CrossOver,46,0.0,Broker,46,10000.0,10000.0,BuySell,46,,,Trades - Net Profit/Loss,46,,
47,,47,2020-03-16 00:00:00,104.6424048,105.42477792,102.686472,102.78426864,47649924.0,,507308318.0,SmaCross,47,737500.0,MovingAverageSimple,47,104.622845472,CrossOver,47,0.0,Broker,47,10000.0,10000.0,BuySell,47,,,Trades - Net Profit/Loss,47,,
48,,48,2020-03-17 00:00:00,104.44681152,104.54460816,100.63274256,102.00189552,42139008.0,,440636619.0,SmaCross,48,737501.0,MovingAverageSimple,48,103.76223504,CrossOver,48,0.0,Broker,48,10000.0,10000.0,BuySell,48,,,Trades - Net Profit/Loss,48,,
49,,49,2020-03-18 00:00:00,101.7085056,102.686472,99.7525728,99.85036944,33176646.0,,343553119.0,SmaCross,49,737502.0,MovingAverageSimple,49,102.666912672,CrossOver,49,0.0,Broker,49,10000.0,10000.0,BuySell,49,,,Trades - Net Profit/Loss,49,,
50,,50,2020-03-19 00:00:00,99.65477616,101.12172576,96.42748704,97.20986016,55707113.0,,558047012.0,SmaCross,50,737503.0,MovingAverageSimple,50,101.29775971199999,CrossOver,50,0.0,Broker,50,10000.0,10000.0,BuySell,50,,,Trades - Net Profit/Loss,50,,
51,,51,2020-03-20 00:00:00,98.97019968,99.55697952,97.40545344,98.67680976,42609358.0,,428744766.0,SmaCross,51,737504.0,MovingAverageSimple,51,100.10464070399999,CrossOver,51,0.0,Broker,51,10000.0,10000.0,BuySell,51,,,Trades - Net Profit/Loss,51,,
52,,52,2020-03-23 00:00:00,97.3076568,97.3076568,96.03630048,96.23189376,28286030.0,,279043930.0,SmaCross,52,737507.0,MovingAverageSimple,52,98.79416572800001,CrossOver,52,0.0,Broker,52,10000.0,10000.0,BuySell,52,,,Trades - Net Profit/Loss,52,,
53,,53,2020-03-24 00:00:00,98.09002992,99.06799632,97.60104672,98.38341984,28990754.0,,291586379.0,SmaCross,53,737508.0,MovingAverageSimple,53,98.070470592,CrossOver,53,1.0,Broker,53,10000.0,10000.0,BuySell,53,,,Trades - Net Profit/Loss,53,,
54,,54,2020-03-25 00:00:00,99.7525728,100.43714928,98.97019968,99.2635896,32172278.0,,327768574.0,SmaCross,54,737509.0,MovingAverageSimple,54,97.953114624,CrossOver,54,0.0,Broker,54,9.76246272000019,9936.12142272,BuySell,54,97.48564668479999,,Trades - Net Profit/Loss,54,,
55,,55,2020-03-26 00:00:00,98.7746064,101.41511568,98.57901312,100.04596272,30921803.0,,315960382.0,SmaCross,55,737510.0,MovingAverageSimple,55,98.520335136,CrossOver,55,0.0,Broker,55,9.76246272000019,10014.358734720001,BuySell,55,,,Trades - Net Profit/Loss,55,,
56,,56,2020-03-27 00:00:00,101.2195224,101.51291232,99.7525728,100.14375936,27107951.0,,278718751.0,SmaCross,56,737511.0,MovingAverageSimple,56,98.813725056,CrossOver,56,0.0,Broker,56,9.76246272000019,10024.13839872,BuySell,56,,,Trades - Net Profit/Loss,56,,
57,,57,2020-03-30 00:00:00,99.55697952,100.53494592,98.87240304,100.53494592,26046018.0,,265782024.0,SmaCross,57,737514.0,MovingAverageSimple,57,99.674335488,CrossOver,57,0.0,Broker,57,9.76246272000019,10063.25705472,BuySell,57,,,Trades - Net Profit/Loss,57,,
58,,58,2020-03-31 00:00:00,100.7305392,101.31731904,99.06799632,99.2635896,26144854.0,,267681227.0,SmaCross,58,737515.0,MovingAverageSimple,58,99.85036944000001,CrossOver,58,-1.0,Broker,58,9.76246272000019,9936.12142272,BuySell,58,,,Trades - Net Profit/Loss,58,,
59,,59,2020-04-01 00:00:00,98.87240304,100.33935264,98.67680976,98.67680976,22479192.0,,228559545.0,SmaCross,59,737516.0,MovingAverageSimple,59,99.73301347200001,CrossOver,59,0.0,Broker,59,9882.120526416002,9882.120526416002,BuySell,59,,101.84444292959999,Trades - Net Profit/Loss,59,,-117.87947358399954
60,,60,2020-04-02 00:00:00,98.67680976,99.7525728,98.48121648,99.7525728,17042135.0,,172675321.0,SmaCross,60,737517.0,MovingAverageSimple,60,99.674335488,CrossOver,60,1.0,Broker,60,9882.120526416002,9882.120526416002,BuySell,60,,,Trades - Net Profit/Loss,60,,
61,,61,2020-04-03 00:00:00,99.06799632,99.85036944,98.97019968,99.2635896,14842382.0,,150706819.0,SmaCross,61,737518.0,MovingAverageSimple,61,99.498301536,CrossOver,61,-1.0,Broker,61,9882.120526416002,9882.120526416002,BuySell,61,,,Trades - Net Profit/Loss,61,,
62,,62,2020-04-07 00:00:00,100.7305392,101.02392912,100.04596272,100.53494592,23825611.0,,244911012.0,SmaCross,62,737522.0,MovingAverageSimple,62,99.498301536,CrossOver,62,1.0,Broker,62,9882.120526416002,9882.120526416002,BuySell,62,,,Trades - Net Profit/Loss,62,,
63,,63,2020-04-08 00:00:00,100.241556,100.63274256,99.55697952,100.14375936,17952255.0,,183606904.0,SmaCross,63,737523.0,MovingAverageSimple,63,99.674335488,CrossOver,63,0.0,Broker,63,9882.120526416002,9882.120526416002,BuySell,63,,,Trades - Net Profit/Loss,63,,
64,,64,2020-04-09 00:00:00,100.33935264,100.63274256,99.55697952,99.7525728,13569586.0,,138881044.0,SmaCross,64,737524.0,MovingAverageSimple,64,99.88948809600001,CrossOver,64,-1.0,Broker,64,9882.120526416002,9882.120526416002,BuySell,64,,,Trades - Net Profit/Loss,64,,
65,,65,2020-04-10 00:00:00,99.94816608,100.14375936,99.2635896,99.85036944,16625528.0,,169625912.0,SmaCross,65,737525.0,MovingAverageSimple,65,99.90904742400001,CrossOver,65,0.0,Broker,65,9882.120526416002,9882.120526416002,BuySell,65,,,Trades - Net Profit/Loss,65,,
66,,66,2020-04-13 00:00:00,99.2635896,99.94816608,98.7746064,98.87240304,11966986.0,,121315470.0,SmaCross,66,737528.0,MovingAverageSimple,66,99.830810112,CrossOver,66,0.0,Broker,66,9882.120526416002,9882.120526416002,BuySell,66,,,Trades - Net Profit/Loss,66,,
67,,67,2020-04-14 00:00:00,99.45918288,100.241556,98.97019968,100.241556,17792926.0,,181192027.0,SmaCross,67,737529.0,MovingAverageSimple,67,99.772132128,CrossOver,67,1.0,Broker,67,9882.120526416002,9882.120526416002,BuySell,67,,,Trades - Net Profit/Loss,67,,
68,,68,2020-04-15 00:00:00,99.7525728,100.43714928,99.2635896,99.55697952,14945608.0,,152284659.0,SmaCross,68,737530.0,MovingAverageSimple,68,99.65477616,CrossOver,68,-1.0,Broker,68,9882.120526416002,9882.120526416002,BuySell,68,,,Trades - Net Profit/Loss,68,,
69,,69,2020-04-16 00:00:00,98.7746064,99.55697952,98.7746064,99.36138624,14403197.0,,145969853.0,SmaCross,69,737531.0,MovingAverageSimple,69,99.576538848,CrossOver,69,0.0,Broker,69,9882.120526416002,9882.120526416002,BuySell,69,,,Trades - Net Profit/Loss,69,,
70,,70,2020-04-17 00:00:00,99.55697952,100.04596272,99.2635896,99.7525728,22744411.0,,231788988.0,SmaCross,70,737532.0,MovingAverageSimple,70,99.55697952,CrossOver,70,1.0,Broker,70,9882.120526416002,9882.120526416002,BuySell,70,,,Trades - Net Profit/Loss,70,,
71,,71,2020-04-20 00:00:00,99.2635896,99.65477616,98.67680976,98.87240304,23503715.0,,237574344.0,SmaCross,71,737535.0,MovingAverageSimple,71,99.55697952,CrossOver,71,-1.0,Broker,71,9882.120526416002,9882.120526416002,BuySell,71,,,Trades - Net Profit/Loss,71,,
72,,72,2020-04-21 00:00:00,98.48121648,98.97019968,97.89443664,98.09002992,17557525.0,,176508085.0,SmaCross,72,737536.0,MovingAverageSimple,72,99.12667430399999,CrossOver,72,0.0,Broker,72,9882.120526416002,9882.120526416002,BuySell,72,,,Trades - Net Profit/Loss,72,,
73,,73,2020-04-22 00:00:00,97.99223328,98.48121648,97.60104672,98.48121648,15802441.0,,158372535.0,SmaCross,73,737537.0,MovingAverageSimple,73,98.911521696,CrossOver,73,0.0,Broker,73,9882.120526416002,9882.120526416002,BuySell,73,,,Trades - Net Profit/Loss,73,,
74,,74,2020-04-23 00:00:00,98.7746064,98.7746064,97.89443664,98.38341984,16878643.0,,169579075.0,SmaCross,74,737538.0,MovingAverageSimple,74,98.715928416,CrossOver,74,0.0,Broker,74,9882.120526416002,9882.120526416002,BuySell,74,,,Trades - Net Profit/Loss,74,,
75,,75,2020-04-24 00:00:00,98.38341984,98.67680976,97.89443664,98.38341984,16973113.0,,170599170.0,SmaCross,75,737539.0,MovingAverageSimple,75,98.442097824,CrossOver,75,0.0,Broker,75,9882.120526416002,9882.120526416002,BuySell,75,,,Trades - Net Profit/Loss,75,,
76,,76,2020-04-27 00:00:00,99.2635896,101.90409888,99.2635896,101.12172576,50342806.0,,520243997.0,SmaCross,76,737542.0,MovingAverageSimple,76,98.89196236800001,CrossOver,76,1.0,Broker,76,9882.120526416002,9882.120526416002,BuySell,76,,,Trades - Net Profit/Loss,76,,
77,,77,2020-04-28 00:00:00,101.31731904,101.51291232,99.94816608,101.02392912,29222578.0,,301584635.0,SmaCross,77,737543.0,MovingAverageSimple,77,99.478742208,CrossOver,77,0.0,Broker,77,9882.120526416002,9882.120526416002,BuySell,77,,,Trades - Net Profit/Loss,77,,
78,,78,2020-04-29 00:00:00,101.2195224,103.76223504,101.02392912,103.76223504,35056836.0,,367739389.0,SmaCross,78,737544.0,MovingAverageSimple,78,100.53494592,CrossOver,78,0.0,Broker,78,9882.120526416002,9882.120526416002,BuySell,78,,,Trades - Net Profit/Loss,78,,
79,,79,2020-04-30 00:00:00,103.46884512,105.52257456,103.27325184,103.95782832,30906971.0,,330157488.0,SmaCross,79,737545.0,MovingAverageSimple,79,101.64982761600001,CrossOver,79,0.0,Broker,79,9882.120526416002,9882.120526416002,BuySell,79,,,Trades - Net Profit/Loss,79,,
80,,80,2020-05-06 00:00:00,102.09969216,102.58867536,101.31731904,102.29528544,41378362.0,,431336740.0,SmaCross,80,737551.0,MovingAverageSimple,80,102.432200736,CrossOver,80,-1.0,Broker,80,9882.120526416002,9882.120526416002,BuySell,80,,,Trades - Net Profit/Loss,80,,
81,,81,2020-05-07 00:00:00,102.1974888,102.29528544,101.41511568,101.61070896,26211656.0,,272516386.0,SmaCross,81,737552.0,MovingAverageSimple,81,102.52999737600001,CrossOver,81,0.0,Broker,81,9882.120526416002,9882.120526416002,BuySell,81,,,Trades - Net Profit/Loss,81,,
82,,82,2020-05-08 00:00:00,102.09969216,102.58867536,101.7085056,102.09969216,20927670.0,,218698514.0,SmaCross,82,737553.0,MovingAverageSimple,82,102.745149984,CrossOver,82,0.0,Broker,82,9882.120526416002,9882.120526416002,BuySell,82,,,Trades - Net Profit/Loss,82,,
83,,83,2020-05-11 00:00:00,102.09969216,103.07765856,101.90409888,102.00189552,21472495.0,,224819916.0,SmaCross,83,737556.0,MovingAverageSimple,83,102.39308208,CrossOver,83,0.0,Broker,83,9882.120526416002,9882.120526416002,BuySell,83,,,Trades - Net Profit/Loss,83,,
84,,84,2020-05-12 00:00:00,102.09969216,102.49087872,101.12172576,101.12172576,19405945.0,,201474588.0,SmaCross,84,737557.0,MovingAverageSimple,84,101.82586156800001,CrossOver,84,0.0,Broker,84,9882.120526416002,9882.120526416002,BuySell,84,,,Trades - Net Profit/Loss,84,,
85,,85,2020-05-13 00:00:00,100.82833584,101.61070896,100.53494592,101.51291232,15574310.0,,160783648.0,SmaCross,85,737558.0,MovingAverageSimple,85,101.66938694400001,CrossOver,85,0.0,Broker,85,9882.120526416002,9882.120526416002,BuySell,85,,,Trades - Net Profit/Loss,85,,
86,,86,2020-05-14 00:00:00,100.92613248,101.31731904,100.43714928,100.7305392,15892376.0,,163558192.0,SmaCross,86,737559.0,MovingAverageSimple,86,101.493352992,CrossOver,86,0.0,Broker,86,9882.120526416002,9882.120526416002,BuySell,86,,,Trades - Net Profit/Loss,86,,
87,,87,2020-05-15 00:00:00,101.31731904,101.51291232,100.33935264,100.53494592,13753770.0,,141846602.0,SmaCross,87,737560.0,MovingAverageSimple,87,101.180403744,CrossOver,87,0.0,Broker,87,9882.120526416002,9882.120526416002,BuySell,87,,,Trades - Net Profit/Loss,87,,
88,,88,2020-05-18 00:00:00,100.53494592,102.00189552,100.241556,100.92613248,15675941.0,,162140715.0,SmaCross,88,737563.0,MovingAverageSimple,88,100.965251136,CrossOver,88,0.0,Broker,88,9882.120526416002,9882.120526416002,BuySell,88,,,Trades - Net Profit/Loss,88,,
89,,89,2020-05-19 00:00:00,102.1974888,102.1974888,101.12172576,101.2195224,12576997.0,,130445254.0,SmaCross,89,737564.0,MovingAverageSimple,89,100.98481046399999,CrossOver,89,1.0,Broker,89,9882.120526416002,9882.120526416002,BuySell,89,,,Trades - Net Profit/Loss,89,,
90,,90,2020-05-20 00:00:00,101.41511568,101.90409888,101.02392912,101.80630224,20046300.0,,208195248.0,SmaCross,90,737565.0,MovingAverageSimple,90,101.04348844799999,CrossOver,90,0.0,Broker,90,9882.120526416002,9882.120526416002,BuySell,90,,,Trades - Net Profit/Loss,90,,
91,,91,2020-05-21 00:00:00,102.09969216,102.09969216,101.02392912,101.02392912,14361684.0,,149140643.0,SmaCross,91,737566.0,MovingAverageSimple,91,101.102166432,CrossOver,91,-1.0,Broker,91,9882.120526416002,9882.120526416002,BuySell,91,,,Trades - Net Profit/Loss,91,,
92,,92,2020-05-22 00:00:00,100.7305392,101.12172576,99.16579296,99.16579296,23722915.0,,243204611.0,SmaCross,92,737567.0,MovingAverageSimple,92,100.82833584,CrossOver,92,0.0,Broker,92,9882.120526416002,9882.120526416002,BuySell,92,,,Trades - Net Profit/Loss,92,,
93,,93,2020-05-25 00:00:00,100.7305392,100.82833584,99.06799632,100.43714928,15722012.0,,160438358.0,SmaCross,93,737570.0,MovingAverageSimple,93,100.7305392,CrossOver,93,0.0,Broker,93,9882.120526416002,9882.120526416002,BuySell,93,,,Trades - Net Profit/Loss,93,,
94,,94,2020-05-26 00:00:00,100.92613248,100.92613248,100.241556,100.43714928,14372249.0,,147713417.0,SmaCross,94,737571.0,MovingAverageSimple,94,100.574064576,CrossOver,94,0.0,Broker,94,9882.120526416002,9882.120526416002,BuySell,94,,,Trades - Net Profit/Loss,94,,
